Tick,Throttle,Speed,Current,Voltage
51606,0,31832,2200,52872
51908,0,31666,2165,52872
52214,0,31498,2178,52883
52264,0,31498,2178,52883
52314,0,31498,2178,52883
52364,0,31498,2178,52883
52414,0,31498,2178,52866
52464,0,31498,2178,52866
52514,0,31498,2178,52866
52564,0,31498,2178,52866
52614,0,31498,2537,52866
52664,0,30881,2537,52866
52714,0,30881,2537,52866
52764,0,30881,2537,52866
52814,0,30881,2537,52856
52864,0,30263,2537,52856
52914,0,30263,2537,52856
52964,0,30263,2537,52856
53014,0,30263,2814,52856
53106,0,30881,2814,52856
53156,0,30881,2814,52856
53206,0,30881,2814,52748
53383,0,31498,2814,52748
53433,0,30881,3341,52748
53483,0,30881,3341,52748
53533,0,30881,3341,52748
53583,0,30881,3341,52748
53633,0,30881,3341,52648
53683,0,30881,3341,52648
53733,0,30881,3341,52648
53783,0,30881,3341,52648
53833,0,30263,3875,52648
53883,0,30263,3875,52648
53933,0,30263,3875,52648
53983,0,30263,3875,52648
54033,0,30881,3875,52579
54083,0,30881,3875,52579
54133,0,30881,3875,52579
54225,0,30881,4227,52579
54275,0,30881,4227,52579
54325,0,30881,4227,52579
54375,0,30881,4227,52579
54510,0,30881,4227,52541
54560,0,30881,4227,52541
54610,0,30881,4227,52541
54660,0,30881,4556,52541
54710,0,30881,4556,52541
54760,0,30881,4556,52541
54810,0,30881,4556,52541
54860,0,30263,4556,52477
54910,0,30263,4556,52477
54960,0,30263,4556,52477
55010,0,30263,4556,52477
55060,0,30881,4779,52477
55110,0,30881,4779,52477
55160,0,30881,4779,52477
55252,0,30881,4779,52429
55302,0,30881,4779,52429
55352,0,30881,4779,52429
55402,0,30881,4779,52429
55452,0,29120,5014,52429
55502,0,29120,5014,52429
55637,0,29120,5014,52418
55687,0,29120,5014,52418
55737,0,29120,5014,52418
55787,0,29120,5014,52418
55837,0,29120,5240,52418
55887,0,29120,5240,52418
55937,0,29120,5240,52418
55987,0,29120,5240,52418
56037,0,29692,5240,52374
56087,0,29692,5240,52374
56137,0,29692,5240,52374
56187,0,29692,5240,52374
56279,0,29692,5556,52374
56329,0,29692,5556,52374
56379,0,29692,5556,52374
56429,0,29120,5556,52331
56479,0,29120,5556,52331
56529,0,29120,5556,52331
56579,0,29120,5556,52331
56629,0,29120,5706,52331
56764,0,29120,5706,52331
56814,0,29120,5706,52331
56864,0,29120,5706,52322
56914,0,29120,5706,52322
56964,0,29120,5706,52322
57014,0,29120,5706,52322
57064,0,29120,6546,52322
57114,0,29120,6546,52322
57164,0,29120,6546,52322
57214,0,29120,6546,52322
57306,0,29120,6546,52152
57356,0,29120,6546,52152
57406,0,29120,6546,52152
57456,0,29120,6849,52152
