Tick,Throttle,Speed,Current,Voltage,,
59326,0,0,282,52565,,
59376,0,0,282,52565,,
59426,0,0,282,52565,,
59476,0,0,255,52565,,
59526,0,0,255,52565,,
59576,0,0,255,52565,,
59626,0,0,255,52565,,
59676,0,0,255,52565,,
59726,0,0,255,52565,,
59776,0,0,255,52565,,
59826,0,0,255,52565,,
59876,0,0,243,52565,,
59926,0,0,243,52565,,
60062,0,0,243,52564,,
60112,0,0,243,52564,,
60162,0,0,243,52564,,
60212,0,0,243,52564,,
60304,0,0,234,52564,,
60354,0,0,234,52564,,
60404,0,0,234,52564,,
60454,0,0,234,52565,,
60504,0,0,234,52565,,
60554,0,0,234,52565,,
60604,0,0,234,52565,,
60654,0,0,241,52565,,
60704,0,0,241,52565,,
60754,0,0,241,52565,,
60804,0,0,241,52565,,
60854,0,0,241,52565,,
60904,0,0,241,52565,,
60954,0,0,241,52565,,
61004,0,0,241,52565,,
61054,0,0,246,52565,,
61190,0,0,246,52565,,
61240,0,0,246,52565,,
61290,0,0,246,52537,,
61340,0,0,246,52537,,
61390,0,0,246,52537,,
61440,0,0,246,52537,,
61533,0,0,242,52537,,
61583,0,0,242,52537,,
61633,0,0,242,52537,,
61683,0,0,242,52539,,
61733,0,0,242,52539,,
61783,0,0,242,52539,,
61833,0,0,242,52539,,
61883,0,0,229,52539,,
61933,0,0,229,52539,,
61983,0,0,229,52539,,
62033,0,0,229,52539,,
62083,0,0,229,52539,,
62133,0,0,229,52539,,
62183,0,0,229,52539,,
62319,0,0,228,52539,,
62369,0,0,228,52539,,
62419,0,0,228,52539,,
62469,0,0,228,52509,,
62519,0,0,228,52509,,
62569,0,0,228,52509,,
62619,0,0,228,52509,,
62669,0,0,356,52509,,
62762,0,0,356,52509,,
62812,0,0,356,52509,,
62862,0,0,356,52509,,
62912,0,0,356,52488,,
62962,0,0,356,52488,,
63012,0,0,356,52488,,
63062,0,0,356,52488,,
63112,0,0,400,52488,,
63162,0,0,400,52488,,
63212,0,0,400,52488,,
63262,0,0,400,52488,,
63312,0,0,400,52489,,
63448,0,0,400,52489,,
63498,0,0,401,52489,,
63548,0,0,401,52489,,
63598,0,0,401,52489,,
63648,0,0,401,52489,,
63698,0,0,401,52490,,
63748,0,0,401,52490,,
63798,0,0,401,52490,,
63848,0,0,401,52490,,
63898,0,0,388,52490,,
63991,0,0,388,52490,,
64041,0,0,388,52490,,
64091,0,0,388,52488,,
64141,0,0,388,52488,,
64191,0,0,388,52488,,
64241,0,0,388,52488,,
64291,0,0,390,52488,,
64341,0,0,390,52488,,
64391,0,0,390,52488,,
64441,0,0,390,52488,,
64576,0,0,390,52487,,
64626,0,0,390,52487,,
64676,0,0,390,52487,,
64726,0,0,403,52487,,
64776,0,0,403,52487,,
64826,0,0,403,52487,,
64876,0,0,403,52487,,
64926,0,0,403,52106,,
64976,0,0,403,52106,,
65026,0,0,403,52106,,
65076,0,0,403,52106,,
65126,0,0,2280,52106,,
65176,0,0,2280,52106,,
65268,0,0,2280,52106,,
65318,0,0,2280,52069,,
65368,0,0,2280,52069,,
65418,0,0,2280,52069,,
65468,0,0,2280,52069,,
65518,0,0,2459,52069,,
65568,0,0,2459,52069,,
65703,0,0,2459,52012,,
65753,0,0,2459,52012,,
65803,0,0,2459,52012,,
65853,0,0,2459,52012,,
65903,0,0,2623,52012,,
65953,0,0,2623,52012,,
66003,0,0,2623,52012,,
66053,0,0,2623,52012,,
66103,0,0,2623,51971,,
66153,0,0,2623,51971,,
66203,0,0,2623,51971,,
66253,0,30,2623,51971,,
66303,0,30,2786,51971,,
66353,0,30,2786,51971,,
66445,0,30,2786,51971,,
66495,0,30,2786,51932,,
66545,0,30,2786,51932,,
66595,0,30,2786,51932,,
66645,0,30,2786,51932,,
66695,0,30,2979,51932,,
66831,0,30,2979,51932,,
66881,0,30,2979,51932,,
66931,0,30,2979,51890,,
66981,0,30,2979,51890,,
67031,0,30,2979,51890,,
67081,0,30,2979,51890,,
67131,0,30,3157,51890,,
67181,0,30,3157,51890,,
67231,0,30,3157,51890,,
67281,0,30,3157,51890,,
67331,0,30,3157,51859,,
67381,0,30,3157,51859,,
67431,0,0,3157,51859,,
67481,0,0,3157,51859,,
67573,0,0,3330,51859,,
67623,0,0,3330,51859,,
67673,0,2671,3330,51859,,
67723,0,2671,3330,51812,,
67773,0,2671,3330,51812,,
67823,0,2671,3330,51812,,
67959,0,2671,3500,51812,,
68009,0,2671,3500,51812,,
68059,0,2671,3500,51812,,
68109,0,2671,3500,51769,,
68159,0,2671,3500,51769,,
68209,0,2671,3500,51769,,
68259,0,2671,3500,51769,,
68309,0,2671,3694,51769,,
68359,0,2671,3694,51769,,
68409,0,2671,3694,51769,,
68459,0,3613,3694,51769,,
68509,0,3613,3694,51731,,
68559,0,3613,3694,51731,,
68609,0,3613,3694,51731,,
68703,0,3613,3694,51731,,
68753,0,3613,3864,51731,,
68803,0,3613,3864,51731,,
68853,0,3613,3864,51731,,
68903,0,3613,3864,51731,,
68953,0,3613,3864,51686,,
69089,0,3613,3864,51686,,
69139,0,3613,4038,51686,,
69189,0,3613,4038,51686,,
69239,0,4400,4038,51686,,
69289,0,4400,4038,51686,,
69339,0,4400,4038,51642,,
69389,0,4400,4038,51642,,
69439,0,4400,4038,51642,,
69489,0,4400,4038,51642,,
69539,0,4400,4228,51642,,
69589,0,4400,4228,51642,,
69639,0,4400,4228,51642,,
69689,0,4400,4228,51642,,
