Tick,Throttle,Speed,Current,Voltage
104290,0, 0, 193, 52379
104340,0, 0, 193, 52380
104390,0, 0, 193, 52380
104440,0, 0, 193, 52380
104490,0, 0, 193, 52380
104627,0, 0, 193, 52380
104677,0, 0, 193, 52380
104727,0, 0, 193, 52380
104777,0, 0, 193, 52382
104827,0, 0, 193, 52382
104877,0, 0, 193, 52382
104927,0, 0, 193, 52382
104977,0, 0, 193, 52382
105027,0, 0, 193, 52382
105077,0, 0, 193, 52382
105127,0, 0, 193, 52382
105177,0, 0, 193, 52382
105227,0, 0, 193, 52382
105277,0, 0, 193, 52382
105327,0, 0, 193, 52382
105419,0, 0, 192, 52382
105469,0, 0, 192, 52382
105519,0, 0, 192, 52382
105569,0, 0, 192, 52382
105619,0, 0, 192, 52382
105755,0, 0, 192, 52382
105805,0, 0, 192, 52382
105855,0, 0, 192, 52382
105905,0, 0, 192, 52382
105955,0, 0, 192, 52384
106005,0, 0, 192, 52384
106055,0, 0, 192, 52384
106105,0, 0, 192, 52384
106155,0, 0, 193, 52384
106205,0, 0, 193, 52384
106255,0, 0, 193, 52384
106305,0, 0, 193, 52384
106355,0, 0, 193, 52385
106405,0, 0, 193, 52385
106455,0, 0, 193, 52385
106505,0, 0, 193, 52385
106597,0, 0, 193, 52385
106647,0, 0, 193, 52385
106697,0, 0, 193, 52385
106747,0, 0, 193, 52386
106883,0, 0, 193, 52386
106933,0, 0, 193, 52386
106983,0, 0, 193, 52386
107033,0, 0, 193, 52386
107083,0, 0, 193, 52386
107133,0, 0, 193, 52386
107183,0, 0, 193, 52386
107233,0, 0, 193, 52386
107283,0, 0, 193, 52386
107333,0, 0, 193, 52386
107383,0, 0, 193, 52386
107433,0, 0, 193, 52386
107483,0, 0, 193, 52386
107533,0, 0, 193, 52386
107583,0, 0, 193, 52388
107633,0, 0, 193, 52388
107683,0, 0, 193, 52388
107733,0, 0, 193, 52388
107825,0, 0, 192, 52388
107875,0, 0, 192, 52388
108010,0, 0, 192, 52388
108060,0, 0, 192, 52388
108110,0, 0, 192, 52388
108160,0, 0, 192, 52388
